PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
07955		0.194687	-0.018040	10.089124	0.005341	0.012398	-0.000763	-0.406494	0.058838	-0.592529
07956		0.187362	-0.017776	10.101330	0.001144	0.012016	-0.000191	-0.413574	0.054443	-0.594971
07957		0.176568	-0.005290	10.113533	0.016022	0.008583	-0.003815	-0.413574	0.054443	-0.594971
07958		0.175587	-0.022321	10.089122	0.011063	0.011063	-0.010109	-0.408691	0.054199	-0.595215
07959		0.176338	-0.017957	10.101331	0.006866	0.013161	-0.007629	-0.411377	0.056641	-0.592285
07960		0.186910	-0.016996	10.107441	0.012779	0.019073	-0.001526	-0.404053	0.056396	-0.592529
07961		0.194955	-0.017808	10.119637	0.009918	0.007057	-0.000763	-0.408691	0.052002	-0.592041
07962		0.169532	-0.041356	10.052502	0.008202	0.012016	-0.003242	-0.408936	0.052002	-0.588867
07963		0.163976	-0.012096	10.101332	0.002289	0.016212	0.006104	-0.411377	0.054199	-0.589111
07964		0.199373	-0.011460	10.095222	0.010872	0.006485	-0.007629	-0.408936	0.056641	-0.592285
07965		0.176606	-0.017573	10.125741	0.014496	0.007820	-0.004578	-0.409180	0.058838	-0.589600
07966		0.200259	-0.004347	10.125738	0.006294	0.005913	-0.007057	-0.411377	0.056641	-0.592285
07967		0.170505	-0.011970	10.070808	0.004578	0.007820	-0.007629	-0.408691	0.054199	-0.598145
07968		0.187967	-0.005155	10.052498	0.011253	0.007629	-0.001526	-0.413818	0.056641	-0.592285
07969		0.151771	0.000351	10.076917	0.006866	0.016212	-0.006104	-0.411377	0.054443	-0.586182
07970		0.174382	-0.017159	10.076922	0.009537	0.019836	-0.004005	-0.411133	0.054199	-0.595215
07971		0.157602	0.000389	10.113542	0.007629	0.021553	-0.003815	-0.408936	0.054199	-0.586182
07972		0.173642	-0.005194	10.028097	0.002861	0.023270	-0.004005	-0.411377	0.054199	-0.589111
07973		0.188659	0.000089	10.113536	0.001526	0.010872	-0.012970	-0.406494	0.054199	-0.589111
07974		0.187044	0.024645	10.095233	0.002670	0.020218	-0.000954	-0.408936	0.056641	-0.592285
07975		0.158061	-0.011895	10.174571	0.006104	0.012398	-0.001526	-0.413818	0.052002	-0.588867
07976		0.187227	0.000709	10.125744	0.002670	0.012779	-0.001717	-0.413818	0.058838	-0.589600
07977		0.164131	0.030979	10.089121	0.009155	0.013161	0.000000	-0.416260	0.054443	-0.585938
07978		0.193165	-0.017012	10.131852	0.008774	0.016022	0.004387	-0.413818	0.052002	-0.588867
07979		0.188776	-0.005831	10.089120	0.005341	0.008583	-0.003052	-0.408936	0.056641	-0.589355
07980		0.199571	-0.011153	10.150167	0.011253	0.019455	-0.006294	-0.406250	0.052002	-0.594971
07981		0.182400	-0.005324	10.137953	0.015259	0.013924	-0.006104	-0.411377	0.056641	-0.589355
07982		0.187065	-0.003971	10.107435	0.011826	0.014114	-0.010109	-0.406494	0.054199	-0.589111
07983		0.194761	-0.018078	10.144054	0.004578	0.010872	-0.000763	-0.408936	0.054199	-0.592285
07984		0.199702	-0.011494	10.131848	0.006485	0.011253	-0.003242	-0.411377	0.052002	-0.588867
07985		0.188389	-0.011617	10.125748	0.011444	0.016212	-0.011444	-0.411621	0.058838	-0.589600
07986		0.186510	-0.004469	10.101337	0.009537	0.019455	-0.009346	-0.411133	0.052002	-0.592041
07987		0.200943	0.006570	10.113535	0.009155	0.009346	-0.003815	-0.409180	0.058838	-0.586670
07988		0.187545	-0.029559	10.101332	0.001717	0.014114	-0.013924	-0.416260	0.054443	-0.589111
07989		0.164130	-0.011780	10.107433	0.008392	0.013161	-0.003815	-0.411377	0.056641	-0.592285
07990		0.174408	0.000631	10.150168	-0.002670	0.024796	-0.004005	-0.408691	0.054199	-0.598145
07991		0.200792	-0.012254	10.064710	-0.000763	0.012398	0.008392	-0.411377	0.056641	-0.589355
07992		0.168772	-0.024419	10.131849	0.001717	0.015640	-0.004578	-0.406494	0.054199	-0.589111
07993		0.194567	-0.005359	10.156265	0.014496	0.014687	-0.008392	-0.408936	0.056641	-0.589355
07994		0.192899	0.008287	10.113542	0.014877	0.017548	-0.000954	-0.411377	0.054199	-0.592041
07995		0.176494	-0.017807	10.064707	0.009918	0.010109	-0.004578	-0.411377	0.058838	-0.592529
07996		0.181188	-0.010990	10.125748	0.005150	0.017166	-0.003242	-0.416260	0.054443	-0.592041
07997		0.206234	-0.006102	10.131862	0.000000	0.025368	-0.001526	-0.404053	0.054199	-0.592285
07998		0.192099	-0.012075	10.144055	0.002670	0.012589	0.003815	-0.408936	0.052002	-0.588867
07999		0.157907	0.000468	10.150159	0.009155	0.015450	-0.003815	-0.411621	0.061035	-0.589844
08000		0.162147	-0.010747	10.162371	0.011635	0.020218	-0.013161	-0.408936	0.056641	-0.592285
08001		0.182864	0.000502	10.113530	0.009918	0.004768	0.000000	-0.413574	0.047607	-0.588379
08002		0.182030	-0.017179	10.125744	0.003433	0.011826	-0.004005	-0.413818	0.056641	-0.589355
08003		0.182517	-0.005637	10.113536	0.009155	0.011635	-0.003815	-0.406494	0.056396	-0.589355
08004		0.187292	-0.023646	10.137952	-0.001717	0.013351	0.003624	-0.411133	0.049805	-0.588623
08005		0.175759	-0.005556	10.107444	0.010681	0.024605	-0.008392	-0.411377	0.054199	-0.592041
08006		0.185916	0.007355	10.174574	0.003815	0.014114	-0.008583	-0.411133	0.054199	-0.595215
08007		0.194684	0.006301	10.144055	0.003815	0.012398	-0.004578	-0.408936	0.056641	-0.589355
08008		0.181077	-0.011869	10.083022	-0.000954	0.015640	-0.004768	-0.411377	0.054199	-0.592041
08009		0.194649	-0.005783	10.089124	0.006104	0.013161	-0.012970	-0.411377	0.054199	-0.589111
08010		0.144492	0.019331	10.131845	0.008774	0.012970	-0.004768	-0.411377	0.052002	-0.588867
08011		0.176452	-0.005677	10.119639	0.008392	0.010872	-0.002289	-0.408691	0.054199	-0.595215
08012		0.163246	0.012843	10.107429	-0.002480	0.008011	0.002098	-0.406494	0.054199	-0.589111
08013		0.176145	0.012437	10.095230	0.004578	0.016975	0.000763	-0.408936	0.056641	-0.592285
08014		0.210923	0.012975	10.107442	0.007629	0.019455	-0.000763	-0.411377	0.058838	-0.595459
08015		0.212884	0.006727	10.064713	0.012207	0.014687	-0.008392	-0.416260	0.059082	-0.589355
08016		0.187329	0.013405	10.046393	0.001144	0.007057	0.004387	-0.411377	0.058838	-0.595459
08017		0.182284	0.006343	10.125747	0.004578	0.016212	-0.008392	-0.411377	0.058838	-0.592529
08018		0.180809	-0.023584	10.144054	0.008774	0.011444	-0.003815	-0.411377	0.058838	-0.592529
08019		0.181940	-0.011891	10.101340	0.006104	0.023079	-0.008392	-0.411621	0.061035	-0.592773
08020		0.155493	-0.016933	10.168471	0.015831	0.016022	-0.000763	-0.416016	0.054443	-0.594971
08021		0.170233	0.000503	10.119640	0.009918	0.013161	-0.001526	-0.408936	0.054199	-0.586182
08022		0.181164	0.001354	10.083019	0.007820	0.012016	-0.006294	-0.408936	0.056396	-0.595459
08023		0.200982	-0.018000	10.113535	0.006104	0.008583	-0.002289	-0.411133	0.054199	-0.595215
08024		0.163492	-0.023166	10.156259	0.013161	0.008774	-0.009155	-0.404053	0.056396	-0.598389
08025		0.182516	-0.012209	10.125743	0.000000	0.011635	0.002289	-0.404053	0.056396	-0.592529
08026		0.193321	-0.006189	10.113540	0.000000	0.014877	-0.009918	-0.406494	0.056396	-0.595459
08027		0.182631	-0.005934	10.168466	0.003052	0.009346	-0.015259	-0.406250	0.049561	-0.591797
08028		0.187668	-0.011478	10.101330	0.008774	0.011635	0.000000	-0.408936	0.054199	-0.589111
08029		0.194956	-0.005822	10.107429	0.005341	0.007057	-0.012207	-0.418701	0.056885	-0.592285
08030		0.175504	-0.017503	10.144056	0.006485	0.014496	-0.001717	-0.408936	0.056641	-0.592285
08031		0.175950	-0.023877	10.119649	0.010681	0.020790	0.003815	-0.408936	0.052002	-0.588867
08032		0.186067	-0.004735	10.144061	0.006294	0.018692	-0.000191	-0.413818	0.058838	-0.589600
08033		0.176376	-0.030326	10.095226	0.003815	0.012398	0.000763	-0.408936	0.054199	-0.589111
08034		0.169061	0.000171	10.101328	-0.002289	0.011826	-0.000954	-0.411377	0.058838	-0.592529
08035		0.188465	-0.017489	10.144058	0.016022	0.014687	-0.009918	-0.408936	0.056396	-0.595459
08036		0.162516	-0.003922	10.131848	0.010872	0.014877	-0.011635	-0.411377	0.056641	-0.589355
08037		0.170464	-0.005330	10.113533	0.015259	0.008583	-0.002289	-0.411621	0.058838	-0.589600
08038		0.163184	-0.010392	10.113538	0.005722	0.014877	-0.000191	-0.408691	0.052002	-0.594971
08039		0.188311	-0.024491	10.119645	-0.001526	0.017738	0.000000	-0.413818	0.058838	-0.592529
08040		0.205169	0.000268	10.089122	0.008965	0.010681	-0.006104	-0.418701	0.056885	-0.586182
08041		0.182284	-0.017802	10.137955	0.009918	0.016212	-0.006104	-0.411621	0.058838	-0.589600
08042		0.186776	-0.022818	10.180679	0.012207	0.014114	-0.022316	-0.408936	0.054199	-0.592285
08043		0.175985	-0.011695	10.156268	0.009918	0.020027	-0.009155	-0.411377	0.052002	-0.588867
08044		0.192858	-0.016640	10.101326	0.014114	0.007057	-0.003815	-0.411377	0.056641	-0.595215
08045		0.182592	-0.005521	10.156260	0.011444	0.010109	-0.001526	-0.408936	0.054199	-0.592285
08046		0.211665	-0.017025	10.144062	0.002670	0.017929	-0.005531	-0.413574	0.054443	-0.594971
08047		0.194685	0.000714	10.125744	0.013733	0.012398	-0.019073	-0.411377	0.052002	-0.588867
08048		0.186986	-0.004389	10.125749	0.007439	0.017548	-0.003242	-0.408691	0.052002	-0.594971
08049		0.206894	-0.017876	10.101332	0.008392	0.012398	-0.010681	-0.408936	0.054199	-0.592285
08050		0.175570	-0.016909	10.076909	0.012589	0.003815	-0.005341	-0.411133	0.049805	-0.591797
08051		0.169816	-0.018078	10.046406	0.004578	0.021553	-0.003052	-0.413818	0.054443	-0.589111
08052		0.173938	-0.005166	10.144058	0.010872	0.017166	-0.005341	-0.408936	0.056396	-0.595459
08053		0.194726	-0.017836	10.101331	0.009155	0.011635	-0.012207	-0.408691	0.054199	-0.595215
08054		0.169028	-0.023175	10.174572	0.007439	0.012398	-0.002480	-0.408936	0.054199	-0.592285
