PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
07895		0.781578	-0.353557	9.899892	0.009155	-0.006676	0.001526	-0.354736	0.151855	-0.612793
07896		0.776140	-0.346918	9.930303	0.001907	-0.006294	-0.007629	-0.354980	0.158447	-0.616211
07897		0.781431	-0.341264	9.930424	0.010681	-0.003624	-0.000763	-0.352295	0.153809	-0.621826
07898		0.769985	-0.328314	9.918074	0.004387	-0.013161	-0.002289	-0.357178	0.154053	-0.618652
07899		0.787684	-0.335469	9.936505	0.004578	-0.006676	0.000763	-0.352539	0.158447	-0.613525
07900		0.800274	-0.347465	9.905909	0.001144	-0.000954	0.000572	-0.352295	0.153809	-0.618896
07901		0.787807	-0.341400	9.942605	0.007629	-0.008965	-0.004578	-0.357178	0.154053	-0.615967
07902		0.782067	-0.358735	9.930350	0.012016	0.000954	-0.003242	-0.352295	0.151611	-0.618652
07903		0.775035	-0.366234	9.991463	-0.000572	0.002289	-0.001526	-0.350098	0.156006	-0.619141
07904		0.786951	-0.353687	9.912133	0.008011	0.002480	-0.003815	-0.352295	0.153809	-0.624512
07905		0.756493	-0.347959	9.936547	-0.001526	0.007057	-0.004578	-0.352539	0.156250	-0.610352
07906		0.786904	-0.360535	9.954801	-0.004768	-0.006294	-0.000191	-0.354736	0.154053	-0.618896
07907		0.787842	-0.347967	9.967000	-0.001526	-0.009727	-0.002289	-0.352539	0.154053	-0.610352
07908		0.788733	-0.329802	9.948601	-0.000381	-0.008583	0.000572	-0.354980	0.156250	-0.616211
07909		0.787676	-0.323432	9.912086	0.001526	-0.006676	0.005341	-0.354980	0.156250	-0.613281
07910		0.757873	-0.353877	9.918083	0.000572	-0.009346	-0.000954	-0.347656	0.153809	-0.616211
07911		0.762553	-0.359988	9.960971	0.002289	0.007820	-0.001526	-0.349854	0.153809	-0.615967
07912		0.798684	-0.341760	9.954830	-0.002670	0.000191	0.005150	-0.352295	0.153809	-0.618896
07913		0.781670	-0.359853	9.948707	0.004578	-0.008202	-0.006866	-0.352539	0.158447	-0.619141
07914		0.769586	-0.365245	9.924256	0.009537	0.004578	-0.004005	-0.357422	0.158447	-0.616211
07915		0.787460	-0.334853	9.942647	0.016785	-0.002098	-0.001526	-0.354492	0.149414	-0.624268
07916		0.799730	-0.315980	9.918208	-0.003815	0.000191	0.007439	-0.354980	0.158447	-0.619141
07917		0.781043	-0.335825	9.960949	-0.002289	0.004005	0.004578	-0.352295	0.156006	-0.619141
07918		0.786473	-0.342194	9.985380	-0.002480	0.008202	-0.003242	-0.352295	0.156006	-0.619141
07919		0.780452	-0.354211	9.960993	-0.004578	0.016212	-0.005341	-0.359863	0.158691	-0.616211
07920		0.779923	-0.341800	9.936612	0.009537	-0.005913	0.000000	-0.352783	0.162842	-0.613770
07921		0.769272	-0.365961	9.912101	0.004578	-0.004387	-0.006104	-0.352295	0.153809	-0.621826
07922		0.763623	-0.359199	9.960835	0.008774	-0.006104	0.001335	-0.352295	0.156006	-0.619141
07923		0.769178	-0.366381	10.003646	-0.003052	-0.002861	0.004578	-0.354980	0.158447	-0.616211
07924		0.793496	-0.348474	9.942537	-0.003433	0.002861	0.005341	-0.347656	0.156006	-0.616211
07925		0.750814	-0.366076	9.967040	0.002480	-0.001526	-0.003052	-0.354980	0.154053	-0.610107
07926		0.769380	-0.341546	9.924300	0.000954	-0.004768	-0.003242	-0.354980	0.158447	-0.619141
07927		0.787013	-0.304845	9.960975	0.006104	0.007057	-0.006866	-0.352539	0.154053	-0.613037
07928		0.792702	-0.341690	9.893790	-0.009727	0.001907	-0.004005	-0.354980	0.158447	-0.613525
07929		0.781219	-0.347562	9.918227	0.006104	0.000954	-0.009155	-0.352295	0.151611	-0.613037
07930		0.768369	-0.377581	9.942682	0.004959	0.011826	-0.004768	-0.352539	0.158447	-0.613525
07931		0.793749	-0.347752	9.918195	0.003052	-0.005913	0.000763	-0.350098	0.158203	-0.619385
07932		0.770235	-0.359954	9.991307	-0.002670	-0.012398	-0.000191	-0.352539	0.160645	-0.619385
07933		0.805245	-0.347583	9.912155	0.006104	0.008583	-0.003815	-0.347900	0.153809	-0.601807
07934		0.780284	-0.377681	9.924331	0.002289	0.002670	-0.013161	-0.354736	0.156250	-0.618896
07935		0.799697	-0.323159	9.985351	0.006866	-0.002861	0.003815	-0.350098	0.158203	-0.619385
07936		0.793754	-0.310489	9.936434	0.002861	0.000381	-0.019073	-0.347656	0.158203	-0.619385
07937		0.769228	-0.317636	9.936501	-0.005341	-0.003624	-0.003052	-0.352783	0.158447	-0.610596
07938		0.805975	-0.336189	9.991360	0.001717	-0.000572	0.002289	-0.352539	0.154053	-0.613037
07939		0.769223	-0.354345	9.930394	-0.006866	-0.003624	0.000000	-0.352539	0.158447	-0.613525
07940		0.782074	-0.378942	9.966913	0.004959	-0.010872	0.002098	-0.354736	0.154053	-0.615967
07941		0.756812	-0.359869	9.912120	0.003815	0.000954	-0.012970	-0.352539	0.156250	-0.610352
07942		0.781345	-0.359430	9.948726	0.005531	-0.003624	-0.005341	-0.354980	0.156250	-0.613281
07943		0.799769	-0.323852	9.936495	-0.006866	-0.004387	0.006104	-0.354980	0.158447	-0.616211
07944		0.800337	-0.348855	9.918079	-0.004196	-0.007820	-0.004005	-0.354980	0.158447	-0.619141
07945		0.775182	-0.329322	9.906012	0.005531	-0.000763	0.001526	-0.354980	0.156250	-0.607422
07946		0.757121	-0.353213	9.954823	0.005913	-0.005531	-0.005341	-0.349854	0.156006	-0.622070
